=== 0. dra på munnen  (nid 1780080629524)
  BILD  : JA
=== 25. fission  (nid 1780080626749)
  OLD   : kärnklyvning
  HB    : Klyvning av en atomkärna ; uppdelning av ett företag i flera delar
  REG   : fackspråklig, neutral, fysik ; fackspråklig, neutral, ekonomi
  SYN   : kärnklyvning | ≈≈ bolagsdelning
  GRP   : [['kärnklyvning'], ['≈≈ bolagsdelning']]
  EX    : Mycket kraftigt laserljus kan framkalla <font color="#3498db">fission</font>.
  ETYM  : av engelska fission med samma betydelse; av latin fiss´io 'klyvning'
  BILD  : -
=== 26. gengälda  (nid 1780080620029)
  OLD   : återge en tjänst
  HB    : Ge tillbaka en tjänst eller gåva som tack
  REG   : litterär, neutral
  SYN   : ≈≈ återgälda
  GRP   : None
  EX    : Han hoppades att hans hårda slit snart skulle <font color="#3498db">gengäldas</font> med ett toppresultat.
  ETYM  : None
  BILD  : -
=== 27. injaga  (nid 1780080627986)
  OLD   : sprida, framkalla<br><br>(injaga skräck/fruktan)
  HB    : Framkalla en stark känsla hos någon med hotfulla medel
  REG   : litterär, neutral
  SYN   : ≈≈ framkalla
  GRP   : None
  EX    : Hans lugna men bestämda röst <font color="#3498db">injagade</font> respekt hos hela klassen.
  ETYM  : None
  BILD  : -
=== 28. järv  (nid 1780080628604)
  OLD   : mårddjur<br><br>(eng) wolverine<br><img src="paste-ef5ed290c4553ec70ad14b56692701639f5c1eac.webp">
  HB    : Kraftigt mårddjur, mörkbrunt och kortsvansat, som fäller djur mycket större än sig självt
  REG   : neutral, neutral, biologi
  SYN   : kortsvansat mårddjur
  GRP   : None
  EX    : <font color="#3498db">Järven</font> kan riva renar och unga älgar.
  ETYM  : fornsvenska iärver; av omdiskuterat ursprung; ev. besläktat med järpe
  BILD  : JA
=== 29. kontinental  (nid 1780080629316)
  OLD   : fastlands-;&nbsp; kosmopolitisk, världsmannamässig
  HB    : Som hör till fastlandet ; elegant och van vid stora världen
  REG   : neutral, neutral ; neutral, positiv
  SYN   : fastlands- | världsmannamässig
  GRP   : [['fastlands-'], ['världsmannamässig']]
  EX    : Hotellet hade en <font color="#3498db">kontinental</font> atmosfär med marmor och kristallkronor.
  ETYM  : None
  BILD  : -
=== 30. kvittens  (nid 1780080628382)
  OLD   : <i>(generellare än kvitto)&nbsp;&nbsp;</i>skriftlig betalnings- el. mottagningsbevis
  HB    : Skriftligt bevis på att en betalning eller leverans tagits emot
  REG   : formell, neutral, ekonomi
  SYN   : ≈≈ kvitto
  GRP   : None
  EX    : Butiken utfärdade en <font color="#3498db">kvittens</font> när jag köpte kläderna.
  ETYM  : fornsvenska kvittancia; till kvittera
  BILD  : JA
=== 31. lockrop  (nid 1780080628433)
  OLD   : ljud som djur/boskapsskötare utstöter för lockande av andra djur/boskap
  HB    : Läte som ett djur ger för att locka till sig andra djur ; rop som en boskapsskötare lockar sina djur med
  REG   : neutral, neutral ; ngt ålderdomlig, neutral
  SYN   : ≈≈ läte | ≈≈ rop
  GRP   : [['≈≈ läte'], ['≈≈ rop']]
  EX    : Hannens <font color="#3498db">lockrop</font> hördes över hela myren.
  ETYM  : None
  BILD  : JA
=== 32. misstroendevotum  (nid 1780080627894)
  OLD   : uttalade ogillande mot (medlem av) regering
  HB    : Omröstning där riksdagen förklarar att den inte längre litar på regeringen
  REG   : formell, neutral, politik
  SYN   : ≈≈ omröstning
  GRP   : None
  EX    : Regeringen överlevde två <font color="#3498db">misstroendevotum</font> under mandatperioden.
  ETYM  : None
  BILD  : -
=== 33. oinvigd  (nid 1780080628602)
  OLD   : ovetande, utomstående, oinitierad
  HB    : Som står utanför och inte fått veta hur något ligger till
  REG   : neutral, neutral
  SYN   : ≈≈ ovetande
  GRP   : None
  EX    : Facktermerna sa inte en <font color="#3498db">oinvigd</font> så mycket.
  ETYM  : None
  BILD  : -
=== 34. pardon  (nid 1780080621491)
  OLD   : förskoning
  HB    : Skonsamhet i stället för straff
  REG   : ngt ålderdomlig, neutral
  SYN   : förskoning | benådning
  GRP   : None
  EX    : Regeringen gav inte upprorsmännen någon <font color="#3498db">pardon</font>.
  ETYM  : av franska pardon 'förlåtelse; försoning', till pardonner 'förlåta'; av latin perdona´re 'efterskänka'
  BILD  : -
=== 35. paternalism  (nid 1780080629203)
  OLD   : förmynderi
  HB    : Att en överordnad bestämmer över andra och kallar det omtanke
  REG   : formell, negativ, politik
  SYN   : ≈≈ förmynderi
  GRP   : None
  EX    : Den statliga <font color="#3498db">paternalismen</font> i välfärdssamhället kritiserades hårt.
  ETYM  : av engelska paternalism med samma betydelse; till latin pat´er 'fader'
  BILD  : JA
=== 36. pivå  (nid 1780080620273)
  OLD   : tapp<br><a href="https://www.google.com/imgres?q=sv%C3%A4ngtapp&amp;imgurl=https%3A%2F%2Fdam.agcocorp.com%2Fcontent%2Fdam%2Fmultisite%2Fmulti-brand%2Fparts%2Fmulti-region%2Fimages%2Fcoreparts%2F11602%2FV37271620-PIC1.jpg%2Fjcr%3Acontent%2Frenditions%2Fcq5dam.web.1280.1280.jpeg&amp;imgrefurl=https%3A%2F%2Fparts.agcocorp.com%2Fse%2Fsv%2Fp%2Fsv%25C3%25A4ngtapp%2Fv37271620&amp;docid=52bQmmToKnV4YM&amp;tbnid=ajSmX2AeHsWzsM&amp;vet=12ahUKEwiiiqH0w7iPAxWaFBAIHZG4FlwQM3oECCUQAA..i&amp;w=1280&amp;h=1280&amp;hcb=2&amp;itg=1&amp;ved=2ahUKEwiiiqH0w7iPAxWaFBAIHZG4FlwQM3oECCUQAA"><div><div><div><img alt="SVÄNGTAPP V37271620 | AGCO Parts" src="paste-c88200a96a1b66becdb039c8f0c4cd42d096eac4.webp"></div></div></div></a>
  HB    : Tapp som något vrider sig kring
  REG   : fackspråklig, neutral, teknik
  SYN   : svängtapp | tapp
  GRP   : None
  EX    : Fönstret satt på en <font color="#3498db">pivå</font> och kunde vridas ett helt varv.
  ETYM  : av franska pivot med samma betydelse; av ovisst ursprung
  BILD  : JA
=== 37. proviantera  (nid 1780080628051)
  OLD   : skaffa proviant, göra matinköp;&nbsp; &nbsp;(vard.) käka, krubba
  HB    : Skaffa mat och dryck inför en resa ; göra större matinköp
  REG   : neutral, neutral ; neutral, neutral
  SYN   : skaffa proviant | göra (större) matinköp
  GRP   : [['skaffa proviant'], ['göra (större) matinköp']]
  EX    : Jordenruntseglare brukade <font color="#3498db">proviantera</font> i Kapstaden.
  ETYM  : None
  BILD  : -
=== 38. pugilist  (nid 1780080624829)
  OLD   : boxare
  HB    : Boxare
  REG   : ngt ålderdomlig, neutral, sport
  SYN   : boxare
  GRP   : None
  EX    : Han var en skicklig <font color="#3498db">pugilist</font> som vann de flesta av sina matcher.
  ETYM  : till latin pug´il 'knytnävskämpe, boxare'
  BILD  : -
=== 39. radiator  (nid 1780080625030)
  OLD   : värmeelement
  HB    : Värmeelement som värmer rummet genom att avge strålningsvärme
  REG   : neutral, neutral, teknik
  SYN   : värmeelement
  GRP   : None
  EX    : <font color="#3498db">Radiatorerna</font> i huset värms upp av centralvärmesystemet.
  ETYM  : till latin radia´re '(ut)stråla'; jfr ursprung till radie
  BILD  : JA
=== 40. ratatouille  (nid 1780080621185)
  OLD   : grönsaksröra<br><a href="https://www.google.com/imgres?q=ratatouille%20dish&amp;imgurl=https%3A%2F%2Fmedia.chefdehome.com%2F740%2F0%2F0%2Fratatouille%2Fratatouille-casserole.jpg&amp;imgrefurl=https%3A%2F%2Fwww.chefdehome.com%2Frecipes%2F561%2Fratatouille&amp;docid=_nRKuMt2XzQhjM&amp;tbnid=5U8Ml2gCM56zRM&amp;vet=12ahUKEwj788XzxaOMAxWlIBAIHeuCJ3AQM3oECGcQAA..i&amp;w=740&amp;h=1069&amp;hcb=2&amp;ved=2ahUKEwj788XzxaOMAxWlIBAIHeuCJ3AQM3oECGcQAA"><div><div><div><img alt="Ratatouille Recipe | ChefDeHome.com" src="paste-a6e8a6cfa240cf631f2e6bacff43acc732d0b8f5.webp"></div></div></div></a>
  HB    : Fransk grönsaksröra av till exempel lök, paprika och squash
  REG   : neutral, neutral, matlagning
  SYN   : en fransk grönsaksrätt
  GRP   : None
  EX    : <font color="#3498db">Ratatouille</font> serverades ofta som huvudrätt på franska restauranger.
  ETYM  : av franska ratatouille med samma betydelse, eg. 'något sönderdelat och hoprört'
  BILD  : JA
=== 41. relik  (nid 1780080624859)
  OLD   : helig kvarleva<br><a href="https://www.google.com/imgres?q=relik&amp;imgurl=https%3A%2F%2Fwww.katolskakyrkan.se%2Fmedia%2F2922%2F2008_0829romeperugia20080117.jpg%3Fwidth%3D869%26height%3D652%26mode%3Dmax&amp;imgrefurl=https%3A%2F%2Fwww.katolskakyrkan.se%2Fkyrkan-i-varlden%2Fhelgon%2Freliker&amp;docid=cD14jFZHFCJL1M&amp;tbnid=NhW7Gjdhg284AM&amp;vet=12ahUKEwiDqMjkzOmLAxVYFRAIHbEyFucQM3oECBoQAA..i&amp;w=869&amp;h=652&amp;hcb=2&amp;ved=2ahUKEwiDqMjkzOmLAxVYFRAIHbEyFucQM3oECBoQAA"><div><div><div><img alt="Reliker | Katolska kyrkan" src="paste-c6c5269cb38ffd420d5f918371a22addf5eddf5a.webp"></div></div></div></a>
  HB    : Kvarleva av en helig person, bevarad och vördad
  REG   : fackspråklig, neutral, religion
  SYN   : ≈≈ kvarleva
  GRP   : None
  EX    : Munkarna vaktade en helig <font color="#3498db">relik</font> som sades vara ett finger från ett helgon.
  ETYM  : av franska relique med samma betydelse; av latin reliq´uiæ, plural, 'kvarlevor'; jfr ursprung till 1relikt
  BILD  : JA
=== 42. skepsis  (nid 1780080626555)
  OLD   : tvivel
  HB    : Hållning där man tvivlar och inte tror på det som sägs
  REG   : formell, neutral
  SYN   : misstro | tvivel
  GRP   : None
  EX    : Forskarna mötte projektet med stor <font color="#3498db">skepsis</font> innan resultaten var bekräftade.
  ETYM  : av grekiska skep´sis 'eftertanke; undersökning', till skep´testhai 'se sig om; överväga', nära besläktat med skopei´n 'betrakta; undersöka', vilket ingår i orden på -skop, horoskop, mikroskop m.fl.
  BILD  : -
=== 43. stridsäpple  (nid 1780080626541)
  OLD   : tvistefråga
  HB    : Fråga som ständigt vållar bråk
  REG   : neutral, neutral
  SYN   : tvistefråga
  GRP   : None
  EX    : Skolan blev ett av de stora <font color="#3498db">stridsäpplena</font> i valrörelsen.
  ETYM  : None
  BILD  : JA
=== 44. strosa  (nid 1780080628415)
  OLD   : promenera lugnt o avspänt,&nbsp; ströva, spatsera, spankulera
  HB    : Gå omkring lugnt och utan bestämt mål
  REG   : vardaglig, neutral
  SYN   : ströva | spankulera
  GRP   : None
  EX    : På söndagar gillade de att <font color="#3498db">strosa</font> i Gamla stan utan något särskilt mål.
  ETYM  : svenskt ord; ev. bildat till ströva och svensk dialekt tosa 'gyckla'
  BILD  : -
=== 45. taktfull  (nid 1780080624283)
  OLD   : finkänslig
  HB    : Som är noga med att inte såra andra
  REG   : neutral, positiv
  SYN   : finkänslig
  GRP   : None
  EX    : Han var <font color="#3498db">taktfull</font> nog att inte nämna misstaget vid namn.
  ETYM  : None
  BILD  : -
=== 46. trashank  (nid 1780080628400)
  OLD   : (vard.)&nbsp; (mans)person klädd i trasor,&nbsp; fattiglapp<br><a href="https://www.google.com/url?sa=i&amp;url=https%3A%2F%2Fwww.threads.com%2F%40staatues%2Fpost%2FDEa9zsmsdHP&amp;psig=AOvVaw3iAK0nQcXnBwZXcFOdF9T8&amp;ust=1757104314975000&amp;source=images&amp;cd=vfe&amp;opi=89978449&amp;ved=0CBUQjRxqFwoTCKjM1uX5v48DFQAAAAAdAAAAABAE"><img alt="Brother Sharp, also known as the “Chinese most stylish homeless man,”  gained fame for his unique fashion sense and striking appearance. His style  often includes well-coordinated outfits, which contrasts with his  circumstances." src="images-70eb98d676c56c0055f72373eaee50767d683c14.webp"></a><br><img src="paste-64789742d2c45e1734e942e9f7b29609d0cec7c6.webp">
  HB    : Person i trasiga kläder ; mycket fattig person
  REG   : ngt ålderdomlig, nedsättande ; ngt ålderdomlig, nedsättande
  SYN   : ≈≈ trasklädd | fattig person
  GRP   : [['≈≈ trasklädd'], ['fattig person']]
  EX    : Vid vägkanten satt en <font color="#3498db">trashank</font> och tiggde.
  ETYM  : till hanka sig
  BILD  : JA
=== 47. tryffel  (nid 1780080629113)
  OLD   : svamp; choklad
  HB    : Underjordisk svamp som räknas som delikatess ; chokladkonfekt med mjuk fyllning
  REG   : neutral, neutral, matlagning ; neutral, neutral, matlagning
  SYN   : ≈≈ svamp | ≈≈ konfekt
  GRP   : [['≈≈ svamp'], ['≈≈ konfekt']]
  EX    : Hunden var tränad att leta efter <font color="#3498db">tryffel</font> i skogen.
  ETYM  : av tyska Trüffel med samma betydelse; av franska truffle, äldre sidoform till truffe 'tryffel'; av latin tu´ber 'svulst; tryffel'; jfr ursprung till tuberkel
  BILD  : JA
=== 48. vattenpuss  (nid 1780080629289)
  OLD   : liten vattenpöl
  HB    : Liten vattenpöl på marken
  REG   : vardaglig, neutral
  SYN   : liten vattenpöl
  GRP   : None
  EX    : Barnen hoppade glatt i varenda <font color="#3498db">vattenpuss</font> på gården.
  ETYM  : None
  BILD  : -
=== 49. välboren  (nid 1780080620288)
  OLD   : av adlig släkt<br><br>(well-borne)
  HB    : Av adlig släkt
  REG   : ngt ålderdomlig, neutral
  SYN   : av adlig börd
  GRP   : None
  EX    : Brevet var ställt till den <font color="#3498db">välborne</font> herr baronen.
  ETYM  : fornsvenska välborin; jfr ursprung till boren
  BILD  : -
